,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name,chart_random
1232,0.9009999999999999,0.574,159360,0.7140000000000001,2TGiDvXSDPCcBTfaMtmsRc,1.7e-05,0,0.255,-6.343999999999999,1,0.0403,63.625,4,0.722,Elvis Presley,159360,41,2002,2002-09-24,(Now and Then There's) A Fool Such as I,1
1233,0.7879999999999999,0.634,123493,0.188,5NOmAqvX7qdkbnfzmymjkZ,1.2e-05,7,0.13699999999999998,-17.073,1,0.0371,115.024,4,0.8170000000000001,Buddy Holly,123493,24,2007,2007-01-01,It Doesn't Matter Anymore - Single Version / Mono Version,1
1234,0.575,0.588,114827,0.633,1YKBoZoN32vnVl4IdOSBXT,0.9520000000000001,3,0.231,-12.094000000000001,1,0.0339,90.738,4,0.97,Russ Conway,114826,6,2011,2011-09-01,Side Saddle,1
1235,0.9440000000000001,0.29,157293,0.22699999999999998,307XEC1IUwUs9ojlEFwH7f,7.950000000000001e-05,3,0.617,-13.06,1,0.0311,114.27799999999999,4,0.22399999999999998,The Platters,157293,8,1995,1995-01-01,Smoke Gets In Your Eyes,1
1236,0.22,0.509,138707,0.583,30q1xFifjBSgkDQ2ptYCwG,0.0,4,0.204,-10.520999999999999,1,0.0353,117.404,4,0.39399999999999996,Shirley Bassey,138706,11,2000,2000-11-13,As I Love You - 2000 Remastered Version,1
1237,0.9009999999999999,0.731,109413,0.8320000000000001,0IDFXLMABcj61OKI3L05A0,0.53,10,0.21899999999999997,-10.335999999999999,0,0.054000000000000006,96.557,4,0.9740000000000001,Elvis Presley,109413,36,1959,1959-11-13,I Got Stung,1
1238,0.8590000000000001,0.429,177400,0.359,6q41RgbgmAndoSPdZ9WfL1,1.41e-06,10,0.321,-10.309000000000001,1,0.0299,108.79899999999999,4,0.39299999999999996,Jane Morgan,177400,0,2012,2012-01-01,The Day The Rains Came,1
1239,0.777,0.561,150133,0.381,2FPHyyvfLMIV8GkUWWwYl5,5.25e-05,10,0.12,-11.302999999999999,1,0.032,115.186,3,0.479,Conway Twitty,150133,46,1995,1995-01-01,It s Only Make Believe,1
1240,0.318,0.37200000000000005,133973,0.88,5u2VonZQsbQeRAUDrQPyXa,0.40299999999999997,3,0.0825,-9.496,1,0.0862,180.41400000000002,4,0.888,Lord Rockingham's XI,133973,0,2013,2013-01-01,Hoots Mon!,1
1241,0.44299999999999995,0.505,158120,0.331,4OUOKKnQsy1l5QHF0sGKaR,0.0005780000000000001,3,0.158,-11.225999999999999,1,0.025,70.563,4,0.6890000000000001,Tommy Edwards,158120,7,2016,2016-04-08,It's All In The Game,1
1242,0.868,0.41200000000000003,153013,0.465,0PNe52pgLBiaCnY61a4Gga,7.9e-06,4,0.0773,-4.468,1,0.0312,117.45,3,0.225,Connie Francis,153013,0,2012,2012-01-01,Carolina Moon,1
1243,0.642,0.669,145520,0.484,76C0SOZc6y1JkRsjtWJDDe,0.00035099999999999997,6,0.0746,-8.259,1,0.0302,92.721,4,0.963,Kalin Twins,145520,36,2008,2008-01-01,When,1
1244,0.7879999999999999,0.581,140373,0.368,76HnRI6IQX4YHzYTgcM0RV,0.0,1,0.157,-11.264000000000001,0,0.0263,103.71600000000001,4,0.568,The Everly Brothers,140373,55,2007,2007-02-05,All I Have to Do Is Dream - Single Version; 2006 Remaster,1
1245,0.821,0.252,163093,0.324,4oCGnINvzJI8F5KWDajAOQ,0.0,11,0.373,-12.065,1,0.0357,131.08100000000002,4,0.401,Vic Damone,163093,24,1992,1992-10-13,On the Street Where You Live,1
1246,0.743,0.51,136360,0.276,2hoEISYqDdskGxin3ObSZd,2.7600000000000003e-05,3,0.375,-9.607000000000001,1,0.0279,87.738,4,0.608,Connie Francis,136360,38,1987,1987-01-12,Who's Sorry Now,1
